left_column,right_column,overlap_rows,pearson_r,spearman_rho,abs_pearson_r,exact_equal_on_overlap,max_abs_diff,mean_abs_diff
retracing_per_utt_severity_z,severity_lexical,360,-0.382182,0.134608,0.382182,0,42.796244,1.159423
DSS_tbl_IP_severity_z,severity_core_composite,360,0.381530,0.376365,0.381530,0,21.390428,0.954662
MLU_Morphemes_severity_z,bare_marking_errors_per_word_severity_z,360,0.380559,0.227673,0.380559,0,37.898233,1.828794
IPSyn_Total_severity_z,repetition_per_utt_severity_z,351,-0.379921,-0.014445,0.379921,0,41.120940,1.367474
DSS_tbl_NG_severity_z,retracing_per_utt_severity_z,360,-0.376508,0.021185,0.376508,0,33.254768,1.190895
rule_generalization_errors_per_word_severity_z,severity_disruption,360,0.374669,0.431000,0.374669,0,21.476587,0.863925
DSS_tbl_IR_severity_z,retracing_per_utt_severity_z,360,-0.374273,-0.053924,0.374273,0,33.840327,1.213919
DSS_tbl_CNJ_severity_z,DSS_tbl_WHQ_severity_z,360,0.373806,0.106904,0.373806,0,18.371878,1.091905
DSS_tbl_IP_severity_z,severity_lexical,360,0.370092,0.291600,0.370092,0,23.999484,0.982393
VOCD_D_optimum_average_severity_z,DSS_tbl_IP_severity_z,360,0.370092,0.291600,0.370092,0,23.999484,0.982393
DSS_tbl_IP_severity_z,severity_domain_composite,360,0.369794,0.319799,0.369794,0,19.161650,0.818136
bare_marking_errors_per_word_severity_z,severity_structural,360,0.369131,0.213450,0.369131,0,37.867900,1.775081
Word_Errors_per_utt_severity_z,retracing_per_utt_severity_z,360,-0.368696,0.086988,0.368696,0,58.856954,1.503264
DSS_tbl_IP_severity_z,DSS_tbl_PP_severity_z,360,0.367122,0.222766,0.367122,0,14.445027,1.016437
retracing_per_utt_severity_z,severity_domain_composite,360,-0.365627,0.216693,0.365627,0,37.958410,0.985738
IPSyn_Total_severity_z,retracing_per_utt_severity_z,351,-0.364296,-0.063372,0.364296,0,28.326059,1.292927
